||||Sütunlar|
|||2017|2226.0|
|||2018|2347.0|
|||2019|2468.0|
|||2020|2034.0|
||İzmir-TR31|2001|791.0|
|||2002|818.0|
|||2003|791.0|
|||2004|868.0|
|||2005|896.0|
|||2006|883.0|
|||2007|868.0|
|||2008|924.0|
|||2009|1054.0|
|||2010|1063.0|
|||2011|1161.0|
|||2012|1063.0|
|||2013|1003.0|
|||2014|1063.0|
|||2015|1094.0|
|||2016|1082.0|
|||2017|1033.0|
|||2018|1129.0|
|||2019|1165.0|
|||2020|965.0|
||Kastamonu, Çankırı, Sinop-TR82|2001|70.0|
|||2002|84.0|
|||2003|74.0|
|||2004|80.0|
|||2005|87.0|
|||2006|77.0|
|||2007|82.0|
|||2008|81.0|
|||2009|119.0|
|||2010|102.0|
|||2011|90.0|
|||2012|91.0|
|||2013|80.0|
|||2014|107.0|
|||2015|67.0|
|||2016|94.0|
|||2017|102.0|
|||2018|111.0|
|||2019|114.0|
|||2020|85.0|
||Kayseri, Sivas, Yozgat-TR72|2001|252.0|
|||2002|278.0|
|||2003|267.0|
|||2004|278.0|
|||2005|270.0|
|||2006|263.0|
|||2007|287.0|
|||2008|262.0|
|||2009|300.0|
|||2010|285.0|
|||2011|319.0|
|||2012|367.0|
|||2013|332.0|
|||2014|407.0|
|||2015|405.0|
|||2016|380.0|
|||2017|373.0|
|||2018|406.0|
|||2019|406.0|
|||2020|350.0|
||Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71|2001|187.0|
|||2002|200.0|
|||2003|219.0|
|||2004|213.0|
|||2005|211.0|
|||2006|239.0|
|||2007|225.0|
|||2008|239.0|
|||2009|248.0|
|||2010|278.0|
|||2011|284.0|
|||2012|290.0|
|||2013|224.0|
|||2014|301.0|
|||2015|280.0|
|||2016|270.0|
|||2017|235.0|
|||2018|287.0|
|||2019|270.0|
|||2020|276.0|
||Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42|2001|341.0|
|||2002|374.0|
|||2003|380.0|
|||2004|335.0|
|||2005|448.0|
|||2006|383.0|
|||2007|389.0|
|||2008|433.0|
|||2009|486.0|
|||2010|508.0|
|||2011|509.0|
|||2012|487.0|
|||2013|563.0|
|||2014|572.0|
|||2015|598.0|
|||2016|526.0|
|||2017|584.0|
|||2018|641.0|
|||2019|719.0|
|||2020|603.0|
||Konya, Karaman-TR52|2001|176.0|
|||2002|192.0|
|||2003|212.0|
|||2004|250.0|
|||2005|241.0|
|||2006|250.0|
|||2007|216.0|
|||2008|186.0|
|||2009|246.0|
|||2010|266.0|
|||2011|297.0|
|||2012|320.0|
|||2013|322.0|
|||2014|299.0|
|||2015|319.0|
|||2016|300.0|
|||2017|331.0|
|||2018|359.0|
|||2019|326.0|
|||2020|308.0|
||Malatya, Elazığ, Bingöl, Tunceli-TRB1|2001|97.0|
|||2002|115.0|
|||2003|122.0|
|||2004|126.0|
|||2005|123.0|
|||2006|141.0|
|||2007|148.0|
|||2008|131.0|
|||2009|155.0|
|||2010|168.0|
|||2011|154.0|
|||2012|138.0|
|||2013|191.0|
|||2014|195.0|
|||2015|203.0|
|||2016|183.0|
|||2017|161.0|
|||2018|187.0|
|||2019|254.0|
|||2020|184.0|
||Manisa, Afyonkarahisar, Kütahya, Uşak-TR33|2001|370.0|
|||2002|379.0|
|||2003|419.0|
|||2004|417.0|
|||2005|418.0|
|||2006|366.0|
|||2007|369.0|
|||2008|377.0|
|||2009|418.0|
|||2010|472.0|
|||2011|432.0|
|||2012|444.0|
|||2013|445.0|
|||2014|480.0|
|||2015|493.0|
|||2016|437.0|
|||2017|412.0|
|||2018|491.0|
|||2019|533.0|
|||2020|441.0|
||Mardin, Batman, Şırnak, Siirt-TRC3|2001|29.0|
|||2002|28.0|
|||2003|41.0|
|||2004|40.0|
|||2005|43.0|
|||2006|35.0|
|||2007|31.0|
|||2008|39.0|
|||2009|48.0|
|||2010|50.0|
|||2011|48.0|
|||2012|79.0|
|||2013|75.0|
|||2014|91.0|
|||2015|64.0|
|||2016|51.0|
|||2017|91.0|
|||2018|97.0|
|||2019|96.0|
|||2020|99.0|
||Samsun, Tokat, Çorum, Amasya-TR83|2001|258.0|
|||2002|287.0|
|||2003|311.0|
|||2004|332.0|
|||2005|300.0|
|||2006|262.0|
|||2007|286.0|
|||2008|296.0|
|||2009|335.0|
|||2010|360.0|
|||2011|354.0|
|||2012|344.0|
|||2013|386.0|
|||2014|384.0|
|||2015|400.0|
|||2016|361.0|
|||2017|355.0|
|||2018|437.0|
|||2019|419.0|
|||2020|343.0|
||Şanlıurfa, Diyarbakır-TRC2|2001|62.0|
|||2002|76.0|
|||2003|94.0|
|||2004|85.0|
|||2005|108.0|
|||2006|120.0|
|||2007|115.0|
|||2008|112.0|
|||2009|150.0|
|||2010|145.0|
|||2011|131.0|
|||2012|131.0|
|||2013|163.0|
|||2014|195.0|
|||2015|196.0|
|||2016|171.0|
|||2017|175.0|
|||2018|212.0|
|||2019|271.0|
|||2020|243.0|
||Tekirdağ, Edirne, Kırklareli-TR21|2001|158.0|
|||2002|197.0|
|||2003|186.0|
|||2004|216.0|
|||2005|208.0|
|||2006|200.0|
|||2007|205.0|
|||2008|209.0|
|||2009|229.0|
|||2010|256.0|
|||2011|267.0|
|||2012|235.0|
|||2013|242.0|
|||2014|312.0|
|||2015|300.0|
|||2016|303.0|
|||2017|241.0|
|||2018|315.0|
|||2019|327.0|
|||2020|284.0|
||Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90|2001|212.0|
|||2002|259.0|
|||2003|241.0|
|||2004|267.0|
|||2005|217.0|
|||2006|215.0|
|||2007|264.0|
|||2008|247.0|
|||2009|283.0|
|||2010|271.0|
|||2011|272.0|
|||2012|321.0|
|||2013|286.0|
|||2014|314.0|
|||2015|311.0|
|||2016|266.0|
|||2017|311.0|
|||2018|324.0|
|||2019|340.0|
|||2020|343.0|
||Van, Muş, Bitlis, Hakkari-TRB2|2001|20.0|
|||2002|20.0|
|||2003|36.0|
|||2004|24.0|
|||2005|23.0|
|||2006|34.0|
|||2007|37.0|
|||2008|33.0|
|||2009|44.0|
|||2010|56.0|
|||2011|46.0|
|||2012|45.0|
|||2013|66.0|
|||2014|76.0|
|||2015|71.0|
|||2016|55.0|
|||2017|63.0|
|||2018|97.0|
|||2019|83.0|
|||2020|96.0|
||Zonguldak, Karabük, Bartın-TR81|2001|120.0|
|||2002|143.0|
|||2003|145.0|
|||2004|134.0|
|||2005|134.0|
|||2006|106.0|
|||2007|150.0|
|||2008|126.0|
|||2009|156.0|
|||2010|135.0|
|||2011|138.0|
|||2012|142.0|
|||2013|136.0|
|||2014|171.0|
|||2015|158.0|
|||2016|121.0|
|||2017|136.0|
|||2018|167.0|
|||2019|167.0|
|||2020|130.0|
|Eşlerin yaş farkı:2|Adana, Mersin-TR62|2001|457.0|
|||2002|419.0|
|||2003|434.0|
|||2004|429.0|
|||2005|403.0|
|||2006|372.0|
|||2007|410.0|
|||2008|462.0|
|||2009|510.0|
|||2010|525.0|
|||2011|593.0|
|||2012|547.0|
|||2013|586.0|
|||2014|632.0|
|||2015|659.0|
|||2016|622.0|
|||2017|632.0|
|||2018|703.0|
|||2019|792.0|
|||2020|712.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|31.0|
|||2002|36.0|
|||2003|35.0|
|||2004|36.0|
|||2005|42.0|
|||2006|23.0|
|||2007|30.0|
|||2008|30.0|
|||2009|35.0|
|||2010|33.0|
|||2011|32.0|
|||2012|37.0|
|||2013|34.0|
|||2014|49.0|
|||2015|32.0|
|||2016|49.0|
|||2017|41.0|
|||2018|49.0|
|||2019|61.0|
|||2020|45.0|
||Ankara-TR51|2001|720.0|
|||2002|744.0|
|||2003|666.0|
|||2004|660.0|
|||2005|724.0|
|||2006|750.0|
|||2007|773.0|
|||2008|841.0|
|||2009|928.0|
|||2010|926.0|
|||2011|1009.0|
|||2012|1034.0|
|||2013|1053.0|
|||2014|1036.0|
|||2015|1031.0|
|||2016|994.0|
|||2017|1026.0|
|||2018|1056.0|
|||2019|1304.0|
|||2020|1060.0|
||Antalya, Isparta, Burdur-TR61|2001|314.0|
|||2002|359.0|
|||2003|369.0|
|||2004|325.0|
|||2005|323.0|
|||2006|325.0|
|||2007|372.0|
|||2008|390.0|
|||2009|444.0|
|||2010|492.0|
|||2011|515.0|
|||2012|526.0|
|||2013|550.0|
|||2014|601.0|
|||2015|557.0|
|||2016|528.0|
|||2017|561.0|
|||2018|624.0|
|||2019|668.0|
|||2020|674.0|
||Aydın, Denizli, Muğla-TR32|2001|356.0|
|||2002|383.0|
|||2003|394.0|
|||2004|374.0|
|||2005|431.0|
|||2006|396.0|
|||2007|371.0|
|||2008|419.0|
|||2009|516.0|
|||2010|542.0|
|||2011|504.0|
|||2012|538.0|
|||2013|481.0|
|||2014|559.0|
|||2015|579.0|
|||2016|567.0|
|||2017|582.0|
|||2018|620.0|
|||2019|673.0|
|||2020|600.0|
||Balıkesir, Çanakkale-TR22|2001|185.0|
|||2002|225.0|
|||2003|200.0|
|||2004|215.0|
|||2005|205.0|
|||2006|217.0|
|||2007|216.0|
|||2008|210.0|
|||2009|235.0|
|||2010|265.0|
|||2011|271.0|
|||2012|267.0|
|||2013|274.0|
|||2014|262.0|
|||2015|324.0|
|||2016|280.0|
|||2017|292.0|
|||2018|358.0|
|||2019|364.0|
|||2020|290.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|395.0|
|||2002|367.0|
|||2003|372.0|
|||2004|339.0|
|||2005|398.0|
|||2006|441.0|
|||2007|416.0|
|||2008|448.0|
|||2009|475.0|
|||2010|590.0|
|||2011|603.0|
|||2012|665.0|
|||2013|625.0|
|||2014|693.0|
|||2015|672.0|
|||2016|679.0|
|||2017|703.0|
|||2018|682.0|
|||2019|794.0|
|||2020|684.0|
||Erzurum, Erzincan, Bayburt-TRA1|2001|49.0|
|||2002|54.0|
|||2003|47.0|
|||2004|35.0|
|||2005|56.0|
|||2006|42.0|
|||2007|35.0|
|||2008|45.0|
|||2009|71.0|
|||2010|40.0|
|||2011|54.0|
|||2012|58.0|
|||2013|68.0|
|||2014|55.0|
|||2015|77.0|
|||2016|62.0|
|||2017|66.0|
|||2018|81.0|
|||2019|92.0|
|||2020|74.0|
||Gaziantep, Adıyaman, Kilis-TRC1|2001|132.0|
|||2002|180.0|
|||2003|185.0|
|||2004|152.0|
|||2005|148.0|
|||2006|133.0|
|||2007|136.0|
|||2008|166.0|
|||2009|175.0|
|||2010|194.0|
|||2011|206.0|
|||2012|236.0|
|||2013|220.0|
|||2014|249.0|
|||2015|263.0|
|||2016|199.0|
|||2017|234.0|
|||2018|289.0|
|||2019|328.0|
|||2020|257.0|
||Hatay, Kahramanmaraş, Osmaniye-TR63|2001|217.0|
|||2002|221.0|
|||2003|204.0|
|||2004|238.0|
|||2005|241.0|
|||2006|216.0|
|||2007|230.0|
|||2008|239.0|
|||2009|257.0|
|||2010|299.0|
|||2011|289.0|
|||2012|312.0|
|||2013|245.0|
|||2014|272.0|
|||2015|276.0|
|||2016|296.0|
|||2017|329.0|
|||2018|366.0|
|||2019|431.0|
|||2020|371.0|
||İstanbul-TR10|2001|1588.0|
|||2002|1654.0|
|||2003|1582.0|
|||2004|1604.0|
|||2005|1790.0|
|||2006|1736.0|
|||2007|1716.0|
|||2008|1805.0|
|||2009|2139.0|
|||2010|2289.0|
|||2011|2326.0|
|||2012|2437.0|
|||2013|2474.0|
|||2014|2587.0|
|||2015|2484.0|
|||2016|2486.0|
|||2017|2510.0|
|||2018|2882.0|
|||2019|3085.0|
|||2020|2522.0|
||İzmir-TR31|2001|662.0|
|||2002|709.0|
|||2003|674.0|
|||2004|647.0|
|||2005|765.0|
|||2006|765.0|
|||2007|747.0|
|||2008|849.0|
|||2009|906.0|
|||2010|939.0|
|||2011|885.0|
|||2012|1027.0|
|||2013|943.0|
|||2014|1057.0|
|||2015|1000.0|
|||2016|987.0|
|||2017|940.0|
|||2018|1089.0|
|||2019|1173.0|
|||2020|1010.0|
||Kastamonu, Çankırı, Sinop-TR82|2001|72.0|
|||2002|87.0|
|||2003|73.0|
|||2004|63.0|
|||2005|78.0|
|||2006|49.0|
|||2007|49.0|
|||2008|65.0|
|||2009|77.0|
|||2010|67.0|
|||2011|68.0|
|||2012|70.0|
|||2013|82.0|
|||2014|66.0|
|||2015|93.0|
|||2016|71.0|
|||2017|78.0|
|||2018|113.0|
|||2019|119.0|
|||2020|89.0|
||Kayseri, Sivas, Yozgat-TR72|2001|285.0|
|||2002|303.0|
|||2003|265.0|
|||2004|256.0|
|||2005|239.0|
|||2006|199.0|
|||2007|252.0|
|||2008|208.0|
|||2009|293.0|
|||2010|282.0|
|||2011|238.0|
|||2012|291.0|
|||2013|314.0|
|||2014|315.0|
|||2015|318.0|
|||2016|305.0|
|||2017|297.0|
|||2018|360.0|
|||2019|338.0|
|||2020|297.0|
||Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71|2001|260.0|
|||2002|277.0|
|||2003|251.0|
|||2004|204.0|
|||2005|221.0|
|||2006|211.0|
|||2007|217.0|
|||2008|242.0|
|||2009|237.0|
|||2010|241.0|
|||2011|240.0|
|||2012|220.0|
|||2013|222.0|
|||2014|207.0|
|||2015|233.0|
|||2016|217.0|
|||2017|219.0|
|||2018|246.0|
|||2019|242.0|
|||2020|272.0|
||Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42|2001|300.0|
|||2002|288.0|
|||2003|293.0|
|||2004|270.0|
|||2005|344.0|
|||2006|329.0|
|||2007|328.0|
|||2008|369.0|
|||2009|430.0|
|||2010|473.0|
|||2011|448.0|
|||2012|483.0|
|||2013|492.0|
|||2014|530.0|
|||2015|537.0|
|||2016|559.0|
|||2017|534.0|
|||2018|608.0|
|||2019|685.0|
|||2020|621.0|
||Konya, Karaman-TR52|2001|305.0|
|||2002|324.0|
|||2003|324.0|
|||2004|311.0|
|||2005|270.0|
|||2006|277.0|
|||2007|247.0|
|||2008|263.0|
|||2009|327.0|
|||2010|330.0|
|||2011|326.0|
|||2012|393.0|
|||2013|392.0|
|||2014|357.0|
|||2015|370.0|
|||2016|335.0|
|||2017|365.0|
|||2018|374.0|
|||2019|412.0|
|||2020|417.0|
||Malatya, Elazığ, Bingöl, Tunceli-TRB1|2001|98.0|
|||2002|98.0|
|||2003|101.0|
|||2004|94.0|
|||2005|88.0|
|||2006|90.0|
|||2007|103.0|
|||2008|105.0|
|||2009|153.0|
|||2010|97.0|
|||2011|107.0|
|||2012|125.0|
|||2013|123.0|
|||2014|158.0|
|||2015|158.0|
|||2016|133.0|
|||2017|139.0|
|||2018|158.0|
|||2019|195.0|
|||2020|171.0|
||Manisa, Afyonkarahisar, Kütahya, Uşak-TR33|2001|477.0|
|||2002|443.0|
|||2003|433.0|
|||2004|398.0|
|||2005|361.0|
|||2006|373.0|
|||2007|341.0|
|||2008|397.0|
|||2009|464.0|
|||2010|485.0|
|||2011|448.0|
|||2012|471.0|
|||2013|439.0|
|||2014|435.0|
|||2015|524.0|
|||2016|463.0|
|||2017|481.0|
|||2018|515.0|
|||2019|565.0|
|||2020|451.0|
||Mardin, Batman, Şırnak, Siirt-TRC3|2001|18.0|
|||2002|23.0|
|||2003|28.0|
|||2004|28.0|
|||2005|34.0|
|||2006|37.0|
|||2007|23.0|
|||2008|33.0|
|||2009|34.0|
|||2010|35.0|
|||2011|34.0|
|||2012|48.0|
|||2013|54.0|
|||2014|62.0|
|||2015|49.0|
|||2016|44.0|
|||2017|56.0|
|||2018|67.0|
|||2019|96.0|
|||2020|88.0|
||Samsun, Tokat, Çorum, Amasya-TR83|2001|254.0|
|||2002|278.0|
|||2003|280.0|
|||2004|240.0|
|||2005|271.0|
|||2006|242.0|
|||2007|240.0|
|||2008|263.0|
|||2009|302.0|
|||2010|315.0|
|||2011|317.0|
|||2012|308.0|
|||2013|314.0|
|||2014|310.0|
|||2015|311.0|
|||2016|303.0|
|||2017|320.0|
|||2018|330.0|
|||2019|372.0|
|||2020|341.0|
||Şanlıurfa, Diyarbakır-TRC2|2001|67.0|
|||2002|79.0|
|||2003|70.0|
|||2004|77.0|
|||2005|87.0|
|||2006|79.0|
|||2007|85.0|
|||2008|100.0|
|||2009|102.0|
|||2010|103.0|
|||2011|85.0|
|||2012|120.0|
|||2013|134.0|
|||2014|167.0|
|||2015|145.0|
|||2016|116.0|
|||2017|152.0|
|||2018|180.0|
|||2019|243.0|
|||2020|179.0|
||Tekirdağ, Edirne, Kırklareli-TR21|2001|165.0|
|||2002|175.0|
|||2003|160.0|
|||2004|195.0|
|||2005|212.0|
|||2006|160.0|
|||2007|203.0|
|||2008|207.0|
|||2009|253.0|
|||2010|261.0|
|||2011|224.0|
|||2012|233.0|
|||2013|277.0|
|||2014|304.0|
|||2015|331.0|
|||2016|287.0|
|||2017|315.0|
|||2018|358.0|
|||2019|372.0|
|||2020|310.0|
||Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90|2001|166.0|
|||2002|212.0|
|||2003|215.0|
|||2004|212.0|
|||2005|167.0|
|||2006|163.0|
|||2007|178.0|
|||2008|149.0|
|||2009|183.0|
|||2010|192.0|
|||2011|199.0|
|||2012|181.0|
|||2013|205.0|
|||2014|199.0|
|||2015|217.0|
|||2016|224.0|
|||2017|197.0|
|||2018|231.0|
|||2019|235.0|
|||2020|226.0|
||Van, Muş, Bitlis, Hakkari-TRB2|2001|8.0|
|||2002|11.0|
|||2003|16.0|
|||2004|24.0|
|||2005|21.0|
|||2006|24.0|
|||2007|21.0|
|||2008|12.0|
|||2009|23.0|
|||2010|26.0|
|||2011|28.0|
|||2012|33.0|
|||2013|45.0|
|||2014|36.0|
|||2015|46.0|
|||2016|42.0|
|||2017|52.0|
|||2018|58.0|
|||2019|79.0|
|||2020|64.0|
||Zonguldak, Karabük, Bartın-TR81|2001|209.0|
|||2002|184.0|
|||2003|225.0|
|||2004|214.0|
|||2005|164.0|
|||2006|136.0|
|||2007|140.0|
|||2008|150.0|
|||2009|162.0|
|||2010|145.0|
|||2011|161.0|
|||2012|155.0|
|||2013|151.0|
|||2014|180.0|
|||2015|169.0|
|||2016|161.0|
|||2017|145.0|
|||2018|159.0|
|||2019|189.0|
|||2020|148.0|
|Eşlerin yaş farkı:3|Adana, Mersin-TR62|2001|455.0|
|||2002|467.0|
|||2003|449.0|
|||2004|461.0|
|||2005|443.0|
|||2006|395.0|
|||2007|453.0|
|||2008|477.0|
|||2009|522.0|
|||2010|553.0|
|||2011|568.0|
|||2012|585.0|
|||2013|657.0|
|||2014|631.0|
|||2015|638.0|
|||2016|609.0|
|||2017|628.0|
|||2018|666.0|
|||2019|809.0|
|||2020|737.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|26.0|
|||2002|32.0|
|||2003|25.0|
|||2004|28.0|
|||2005|41.0|
|||2006|32.0|
|||2007|33.0|
|||2008|41.0|
|||2009|35.0|
|||2010|39.0|
|||2011|36.0|
|||2012|32.0|
|||2013|41.0|
|||2014|38.0|
|||2015|48.0|
|||2016|45.0|
|||2017|36.0|
|||2018|58.0|
|||2019|62.0|
|||2020|56.0|
||Ankara-TR51|2001|714.0|
|||2002|711.0|
|||2003|680.0|
|||2004|655.0|
|||2005|735.0|
|||2006|753.0|
|||2007|686.0|
|||2008|825.0|
|||2009|932.0|
|||2010|942.0|
|||2011|943.0|
|||2012|946.0|
|||2013|1052.0|
|||2014|1030.0|
|||2015|1007.0|
|||2016|981.0|
|||2017|911.0|
|||2018|1102.0|
|||2019|1263.0|
|||2020|964.0|
||Antalya, Isparta, Burdur-TR61|2001|336.0|
|||2002|354.0|
|||2003|325.0|
|||2004|339.0|
|||2005|347.0|
|||2006|369.0|
|||2007|357.0|
|||2008|391.0|
|||2009|531.0|
|||2010|503.0|
|||2011|564.0|
|||2012|537.0|
|||2013|584.0|
|||2014|628.0|
|||2015|601.0|
|||2016|570.0|
|||2017|542.0|
|||2018|643.0|
|||2019|709.0|
|||2020|620.0|
||Aydın, Denizli, Muğla-TR32|2001|387.0|
|||2002|410.0|
|||2003|394.0|
|||2004|402.0|
|||2005|451.0|
|||2006|392.0|
|||2007|411.0|
|||2008|445.0|
|||2009|547.0|
|||2010|546.0|
|||2011|532.0|
|||2012|571.0|
|||2013|591.0|
|||2014|560.0|
|||2015|604.0|
|||2016|609.0|
|||2017|610.0|
|||2018|634.0|
|||2019|681.0|
|||2020|591.0|
||Balıkesir, Çanakkale-TR22|2001|194.0|
|||2002|207.0|
|||2003|207.0|
|||2004|211.0|
|||2005|248.0|
|||2006|212.0|
|||2007|221.0|
|||2008|220.0|
|||2009|242.0|
|||2010|289.0|
|||2011|277.0|
|||2012|305.0|
|||2013|279.0|
|||2014|305.0|
|||2015|302.0|
|||2016|305.0|
|||2017|268.0|
|||2018|320.0|
|||2019|403.0|
|||2020|301.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|417.0|
|||2002|374.0|
|||2003|414.0|
|||2004|376.0|
|||2005|423.0|
|||2006|455.0|
|||2007|472.0|
|||2008|458.0|
|||2009|541.0|
|||2010|587.0|
|||2011|641.0|
|||2012|647.0|
|||2013|689.0|
|||2014|723.0|
|||2015|709.0|
|||2016|705.0|
|||2017|710.0|
|||2018|817.0|
|||2019|835.0|
|||2020|724.0|
||Erzurum, Erzincan, Bayburt-TRA1|2001|64.0|
|||2002|55.0|
|||2003|46.0|
|||2004|34.0|
|||2005|41.0|
|||2006|45.0|
|||2007|39.0|
|||2008|42.0|
|||2009|52.0|
|||2010|60.0|
|||2011|56.0|
|||2012|85.0|
|||2013|51.0|
|||2014|72.0|
|||2015|77.0|
|||2016|58.0|
|||2017|75.0|
|||2018|89.0|
|||2019|97.0|
|||2020|75.0|
||Gaziantep, Adıyaman, Kilis-TRC1|2001|177.0|
|||2002|175.0|
|||2003|201.0|
|||2004|180.0|
|||2005|159.0|
|||2006|168.0|
|||2007|161.0|
|||2008|164.0|
|||2009|185.0|
|||2010|223.0|
|||2011|240.0|
|||2012|238.0|
|||2013|233.0|
|||2014|235.0|
|||2015|256.0|
|||2016|214.0|
|||2017|263.0|
|||2018|314.0|
|||2019|332.0|
|||2020|291.0|
||Hatay, Kahramanmaraş, Osmaniye-TR63|2001|241.0|
|||2002|233.0|
|||2003|246.0|
|||2004|250.0|
|||2005|210.0|
|||2006|225.0|
|||2007|214.0|
|||2008|234.0|
|||2009|273.0|
|||2010|299.0|
|||2011|323.0|
|||2012|325.0|
|||2013|307.0|
|||2014|332.0|
|||2015|325.0|
|||2016|350.0|
|||2017|348.0|
|||2018|408.0|
|||2019|470.0|
|||2020|377.0|
||İstanbul-TR10|2001|1629.0|
|||2002|1740.0|
|||2003|1606.0|
|||2004|1658.0|
|||2005|1765.0|
|||2006|1862.0|
|||2007|1801.0|
|||2008|1903.0|
|||2009|2207.0|
|||2010|2256.0|
|||2011|2267.0|
|||2012|2347.0|
|||2013|2432.0|
|||2014|2635.0|
|||2015|2535.0|
|||2016|2479.0|
|||2017|2549.0|
|||2018|2697.0|
|||2019|2899.0|
|||2020|2485.0|
||İzmir-TR31|2001|745.0|
|||2002|751.0|
|||2003|691.0|
|||2004|745.0|
|||2005|758.0|
|||2006|812.0|
|||2007|745.0|
|||2008|882.0|
|||2009|951.0|
|||2010|1017.0|
|||2011|1010.0|
|||2012|979.0|
|||2013|974.0|
|||2014|953.0|
|||2015|1034.0|
|||2016|1029.0|
|||2017|926.0|
|||2018|1104.0|
|||2019|1193.0|
|||2020|962.0|
||Kastamonu, Çankırı, Sinop-TR82|2001|65.0|
|||2002|68.0|
|||2003|72.0|
|||2004|71.0|
|||2005|66.0|
|||2006|77.0|
|||2007|66.0|
|||2008|72.0|
|||2009|78.0|
|||2010|69.0|
|||2011|83.0|
|||2012|97.0|
|||2013|79.0|
|||2014|82.0|
|||2015|77.0|
|||2016|76.0|
|||2017|84.0|
|||2018|85.0|
|||2019|92.0|
|||2020|83.0|
||Kayseri, Sivas, Yozgat-TR72|2001|301.0|
|||2002|303.0|
|||2003|281.0|
|||2004|238.0|
|||2005|255.0|
|||2006|228.0|
|||2007|231.0|
|||2008|248.0|
|||2009|281.0|
|||2010|313.0|
|||2011|264.0|
|||2012|332.0|
|||2013|286.0|
|||2014|349.0|
|||2015|373.0|
|||2016|338.0|
|||2017|320.0|
|||2018|357.0|
|||2019|307.0|
|||2020|371.0|
||Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71|2001|261.0|
|||2002|293.0|
|||2003|279.0|
|||2004|234.0|
|||2005|236.0|
|||2006|202.0|
|||2007|180.0|
|||2008|218.0|
|||2009|258.0|
|||2010|256.0|
|||2011|261.0|
|||2012|240.0|
|||2013|227.0|
|||2014|245.0|
|||2015|233.0|
|||2016|248.0|
|||2017|237.0|
|||2018|254.0|
|||2019|227.0|
|||2020|282.0|
||Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42|2001|319.0|
|||2002|345.0|
|||2003|333.0|
|||2004|320.0|
|||2005|353.0|
|||2006|335.0|
|||2007|326.0|
|||2008|415.0|
|||2009|442.0|
|||2010|432.0|
|||2011|511.0|
|||2012|457.0|
|||2013|584.0|
|||2014|499.0|
|||2015|568.0|
|||2016|545.0|
|||2017|554.0|
|||2018|609.0|
|||2019|727.0|
|||2020|639.0|
||Konya, Karaman-TR52|2001|311.0|
|||2002|279.0|
|||2003|265.0|
|||2004|275.0|
|||2005|284.0|
|||2006|301.0|
|||2007|259.0|
|||2008|292.0|
|||2009|330.0|
|||2010|345.0|
|||2011|369.0|
|||2012|394.0|
|||2013|387.0|
|||2014|385.0|
|||2015|362.0|
|||2016|378.0|
|||2017|377.0|
|||2018|400.0|
|||2019|454.0|
|||2020|416.0|
||Malatya, Elazığ, Bingöl, Tunceli-TRB1|2001|99.0|
|||2002|97.0|
|||2003|119.0|
|||2004|81.0|
|||2005|107.0|
|||2006|107.0|
|||2007|85.0|
|||2008|105.0|
|||2009|134.0|
|||2010|135.0|
|||2011|113.0|
|||2012|158.0|
|||2013|142.0|
|||2014|152.0|
|||2015|148.0|
|||2016|154.0|
|||2017|139.0|
|||2018|173.0|
|||2019|189.0|
|||2020|183.0|
||Manisa, Afyonkarahisar, Kütahya, Uşak-TR33|2001|495.0|
|||2002|387.0|
|||2003|426.0|
|||2004|374.0|
|||2005|355.0|
|||2006|348.0|
|||2007|369.0|
|||2008|392.0|
|||2009|472.0|
|||2010|476.0|
|||2011|457.0|
|||2012|440.0|
|||2013|504.0|
|||2014|461.0|
|||2015|506.0|
|||2016|459.0|
|||2017|457.0|
|||2018|550.0|
|||2019|566.0|
|||2020|516.0|
||Mardin, Batman, Şırnak, Siirt-TRC3|2001|33.0|
|||2002|22.0|
|||2003|28.0|
|||2004|32.0|
|||2005|31.0|
|||2006|29.0|
|||2007|17.0|
|||2008|27.0|
|||2009|39.0|
|||2010|52.0|
|||2011|38.0|
|||2012|56.0|
|||2013|45.0|
|||2014|56.0|
|||2015|62.0|
|||2016|41.0|
|||2017|57.0|
|||2018|72.0|
|||2019|83.0|
|||2020|74.0|
||Samsun, Tokat, Çorum, Amasya-TR83|2001|313.0|
|||2002|281.0|
|||2003|271.0|
|||2004|256.0|
|||2005|264.0|
|||2006|225.0|
|||2007|253.0|
|||2008|237.0|
|||2009|309.0|
|||2010|298.0|
|||2011|290.0|
|||2012|306.0|
|||2013|324.0|
|||2014|293.0|
|||2015|328.0|
|||2016|323.0|
|||2017|305.0|
|||2018|394.0|
|||2019|404.0|
|||2020|339.0|
||Şanlıurfa, Diyarbakır-TRC2|2001|55.0|
|||2002|63.0|
|||2003|68.0|
|||2004|92.0|
|||2005|89.0|
|||2006|80.0|
|||2007|80.0|
|||2008|79.0|
